DTE1,DTE2,Count,Average,pDelta
49,48,146,0.0183601,-0.613044
74,73,64,0.0177674,-0.736552
113,112,18,0.0172567,-0.597469
310,309,119,0.0166811,-0.702641
85,84,105,0.0154607,-0.521864
296,295,3,0.0146729,-0.80501
29,28,159,0.014502,-0.600503
2,1,466,0.0138541,-0.75499
409,406,1,0.0136667,-1
49,47,146,0.0134778,-0.613044
46,45,210,0.0133847,-0.665612
310,308,119,0.0131167,-0.702641
27,25,90,0.0130009,-0.607907
27,26,130,0.0129705,-0.630275
113,111,18,0.0128421,-0.597469
218,217,2,0.0128381,-0.4902
18,17,428,0.0122181,-0.639817
59,56,6,0.011914,-0.937052
59,57,6,0.0117922,-0.937052
296,294,3,0.0117806,-0.80501
20,19,205,0.0116856,-0.61538
85,83,104,0.011509,-0.520438
25,24,356,0.0113676,-0.588856
29,27,147,0.0111141,-0.595956
45,41,2,0.0110548,-0.95417
204,203,5,0.0110469,-0.491976
5,4,353,0.0109089,-0.678114
59,55,3,0.0103416,-0.933947
409,407,1,0.0103182,-1
59,58,6,0.0102697,-0.937052
16,15,408,0.0100781,-0.581754
80,76,2,0.00980463,-0.936955
80,79,4,0.00975639,-0.90485
9,8,848,0.00960244,-0.620909
218,216,2,0.0094891,-0.4902
4,3,327,0.00946658,-0.665819
93,92,8,0.00937087,-0.871701
80,78,5,0.00901233,-0.895068
32,31,437,0.00895929,-0.582367
36,35,496,0.00876022,-0.527583
88,87,43,0.00856123,-0.437751
65,64,30,0.00855283,-0.73648
5,3,260,0.00844613,-0.63571
34,33,338,0.00826684,-0.560725
204,202,5,0.00807125,-0.491976
20,18,176,0.00799948,-0.606111
7,6,767,0.00797592,-0.617673
358,357,1,0.00794202,-1
2,0,572,0.00771324,-0.722429
19,18,97,0.00751687,-0.76413
80,77,7,0.00750192,-0.889009
409,405,1,0.00740909,-1
136,135,1,0.00738207,-0.78228
31,29,9,0.00737418,-0.861283
22,20,12,0.0072889,-0.542803
21,20,269,0.00723066,-0.517407
42,41,107,0.00721413,-0.468476
87,85,10,0.0072074,-0.516593
106,105,9,0.00715284,-0.874004
18,16,475,0.00707286,-0.593756
136,134,1,0.00689858,-0.78228
100,99,87,0.00685051,-0.536137
148,147,5,0.0068033,-0.838288
11,10,600,0.00672601,-0.528828
36,34,515,0.00657008,-0.48617
24,22,11,0.00656887,-0.572449
46,44,227,0.00651859,-0.655183
16,14,396,0.00641454,-0.545898
12,11,1221,0.00641133,-0.522622
51,48,2,0.00639647,-0.91342
34,32,188,0.00633257,-0.513776
101,100,1,0.00630319,-0.83701
39,38,195,0.00629962,-0.521586
58,57,3,0.00622474,-0.914063
74,72,85,0.00619961,-0.751207
65,62,3,0.00612414,-0.88905
367,365,52,0.00612367,-0.759513
43,42,535,0.00610697,-0.472625
51,49,2,0.00603936,-0.91342
13,12,1736,0.00601295,-0.555372
28,27,321,0.00599806,-0.528445
23,22,336,0.00593491,-0.453827
18,13,107,0.00584968,-0.701079
1,0,331,0.00579614,-0.792003
63,62,1,0.00571895,-0.86285
227,226,2,0.00570883,-0.69126
25,23,436,0.00570726,-0.509478
32,30,415,0.00569354,-0.521796
14,13,1821,0.00569041,-0.472996
35,34,492,0.00561836,-0.592092
30,29,360,0.00559354,-0.466645
51,42,2,0.00558512,-0.91342
77,76,3,0.00552684,-0.804313
62,56,1,0.00552277,-0.85037
310,305,119,0.00545546,-0.702641
9,7,1029,0.00542042,-0.546348
44,43,116,0.00532568,-0.464902
409,401,1,0.00532102,-1
240,238,3,0.00524158,-0.77869
227,225,2,0.00522442,-0.69126
108,107,13,0.00519832,-0.556452
4,2,329,0.00519071,-0.642837
113,108,18,0.00518316,-0.597469
15,14,52,0.00516707,-0.656881
240,239,3,0.00514184,-0.77869
83,77,2,0.0051029,-0.825445
296,291,3,0.00509801,-0.80501
100,98,92,0.00505862,-0.507674
10,9,362,0.00498629,-0.574215
7,5,773,0.00495367,-0.600301
17,15,32,0.00485834,-0.660612
50,49,234,0.00483805,-0.468826
29,24,145,0.00481098,-0.651898
86,84,8,0.00480861,-0.735533
11,9,545,0.00480686,-0.564902
37,36,146,0.00474278,-0.488974
60,57,37,0.00469894,-0.692204
59,51,4,0.00468718,-0.949025
107,106,11,0.00466922,-0.618093
239,238,2,0.00465464,-0.81241
36,31,153,0.00461218,-0.654766
85,80,106,0.00461012,-0.528026
100,97,93,0.00458127,-0.491809
87,84,15,0.00453809,-0.576246
74,71,57,0.00451675,-0.719984
8,7,629,0.00445781,-0.618442
48,43,55,0.00443741,-0.492286
25,20,110,0.00439539,-0.643471
26,25,133,0.00438714,-0.473248
4,1,310,0.0043827,-0.658663
79,78,6,0.00436922,-0.591715
136,133,1,0.00435534,-0.78228
108,106,13,0.00434065,-0.556452
27,22,114,0.004291,-0.623361
32,29,270,0.00428912,-0.572399
