QUOTE_DATE,DTE,C_GAMMA_P_GAMMA,STRIKE
2021-03-01,4,0.09482,325
2021-03-01,11,0.06125,326
2021-03-01,17,0.0464,327
2021-03-01,24,0.03988,327.5
2021-03-01,29,0.0368,330
2021-03-01,30,0.03532,330
2021-03-01,38,0.03143,329
2021-03-01,45,0.0291,332
2021-03-01,80,0.0209,334
2021-03-01,108,0.01804,335
2021-03-01,120,0.01701,337
2021-03-01,171,0.01416,338
2021-03-01,199,0.01316,346
2021-03-01,212,0.01271,344
2021-03-01,227,0.01227,340
2021-03-01,291,0.0109,348
2021-03-01,305,0.01062,353
2021-03-01,326,0.01039,352
2021-03-01,381,0.00958,360
2021-03-01,472,0.00874,360
2021-03-01,655,0.00746,365
2021-03-01,690,0.00735,370
2021-03-01,1019,0.00604,375
2021-03-02,3,0.0925,320
2021-03-02,10,0.05812,322
2021-03-02,16,0.04463,323
2021-03-02,23,0.03782,325
2021-03-02,28,0.03456,325
2021-03-02,29,0.03401,325
2021-03-02,37,0.03041,326
2021-03-02,44,0.02785,325
2021-03-02,79,0.02048,329
2021-03-02,107,0.01759,332
2021-03-02,119,0.01676,333
2021-03-02,170,0.01399,336
2021-03-02,198,0.01307,341
2021-03-02,211,0.01259,342
2021-03-02,226,0.01217,345
2021-03-02,290,0.01073,339
2021-03-02,304,0.0105,340
2021-03-02,325,0.01022,345
2021-03-02,380,0.00961,350
2021-03-02,471,0.00876,345
2021-03-02,654,0.00754,365
2021-03-02,689,0.00737,360
2021-03-02,1018,0.00603,360
2021-03-03,2,0.08726,311
2021-03-03,9,0.05212,313
2021-03-03,15,0.04154,313
2021-03-03,22,0.03519,317
2021-03-03,27,0.03241,318
2021-03-03,28,0.03205,317
2021-03-03,36,0.02881,319
2021-03-03,43,0.02643,318
2021-03-03,78,0.01998,320
2021-03-03,106,0.01737,325
2021-03-03,118,0.01655,324
2021-03-03,169,0.01396,325
2021-03-03,197,0.01302,325
2021-03-03,210,0.01262,332
2021-03-03,225,0.01227,332
2021-03-03,289,0.01082,331
2021-03-03,303,0.01059,329
2021-03-03,324,0.01032,334
2021-03-03,379,0.00975,345
2021-03-03,470,0.00889,335
2021-03-03,653,0.0077,345
2021-03-03,688,0.00755,345
2021-03-03,1017,0.00629,370
2021-03-04,1,0.10372,305
2021-03-04,8,0.04963,309
2021-03-04,14,0.03996,310
2021-03-04,21,0.03406,310
2021-03-04,26,0.03133,310
2021-03-04,27,0.03079,312
2021-03-04,35,0.02783,310
2021-03-04,42,0.02553,315
2021-03-04,49,0.02425,311
2021-03-04,77,0.01962,317
2021-03-04,105,0.01724,321
2021-03-04,117,0.01648,318
2021-03-04,168,0.01403,317
2021-03-04,196,0.01307,325
2021-03-04,209,0.0127,323
2021-03-04,224,0.01227,324
2021-03-04,288,0.01086,335
2021-03-04,302,0.0107,329
2021-03-04,323,0.0104,336
2021-03-04,378,0.00978,335
2021-03-04,469,0.0089,335
2021-03-04,652,0.0077,335
2021-03-04,687,0.00758,345
2021-03-04,1016,0.00629,340
2021-03-05,0,0.73959,309
2021-03-05,7,0.06472,312
2021-03-05,13,0.04682,314
2021-03-05,20,0.0387,312.5
2021-03-05,25,0.03539,315
2021-03-05,26,0.03457,314
2021-03-05,34,0.03071,316
2021-03-05,41,0.02853,318
2021-03-05,48,0.02652,319
2021-03-05,76,0.02116,318
2021-03-05,104,0.01838,322
2021-03-05,116,0.01759,321
2021-03-05,167,0.01477,328
2021-03-05,195,0.01375,331
2021-03-05,208,0.01334,327
2021-03-05,223,0.01288,332
2021-03-05,287,0.01133,329
2021-03-05,301,0.01116,332
2021-03-05,322,0.01094,339
2021-03-05,377,0.01003,345
2021-03-05,468,0.0091,345
2021-03-05,651,0.00781,335
2021-03-05,686,0.00763,360
2021-03-05,1015,0.00633,360
2021-03-08,4,0.06064,302.5
2021-03-08,10,0.0425,305
2021-03-08,17,0.03567,304
2021-03-08,22,0.03302,305
2021-03-08,23,0.03241,306
2021-03-08,31,0.02923,305
2021-03-08,38,0.02715,307
2021-03-08,45,0.02539,309
2021-03-08,73,0.02073,311
2021-03-08,101,0.01811,311
2021-03-08,113,0.01724,312
2021-03-08,164,0.01487,312
2021-03-08,192,0.01369,315
2021-03-08,205,0.01325,319
2021-03-08,220,0.01279,325
2021-03-08,284,0.01135,324
2021-03-08,298,0.01123,327
2021-03-08,319,0.01086,326
2021-03-08,374,0.01016,335
2021-03-08,465,0.00932,335
2021-03-08,648,0.00799,325
2021-03-08,683,0.00784,335
2021-03-08,1012,0.00644,335
2021-03-09,3,0.08077,314
2021-03-09,9,0.04923,316
2021-03-09,16,0.04035,317
2021-03-09,21,0.03659,316
2021-03-09,22,0.0357,320
2021-03-09,30,0.03187,319
2021-03-09,37,0.02911,320
2021-03-09,44,0.02707,319
2021-03-09,72,0.02139,323
2021-03-09,100,0.01838,323
2021-03-09,112,0.01752,326
2021-03-09,163,0.01508,330
2021-03-09,191,0.01371,332
2021-03-09,204,0.01324,331
2021-03-09,219,0.01304,336
2021-03-09,283,0.01135,339
2021-03-09,297,0.0111,333
2021-03-09,318,0.01088,338
2021-03-09,373,0.01002,335
2021-03-09,464,0.00922,345
2021-03-09,647,0.00784,350
2021-03-09,682,0.0077,350
2021-03-09,1011,0.00633,355
2021-03-10,2,0.09915,312
2021-03-10,8,0.05254,315
2021-03-10,15,0.04173,316
2021-03-10,20,0.03775,316
2021-03-10,21,0.03687,317
2021-03-10,29,0.03239,317
2021-03-10,36,0.02932,319
2021-03-10,43,0.02718,318
2021-03-10,71,0.02139,320
2021-03-10,99,0.0184,323
2021-03-10,111,0.01747,324
2021-03-10,162,0.01469,325
2021-03-10,190,0.01368,324
2021-03-10,203,0.01335,330
2021-03-10,218,0.01285,331
2021-03-10,282,0.01143,337
2021-03-10,296,0.01118,331
2021-03-10,317,0.01096,339
2021-03-10,372,0.01019,335
2021-03-10,463,0.00927,345
2021-03-10,646,0.00788,345
2021-03-10,681,0.00769,345
2021-03-10,1010,0.00633,365
2021-03-11,1,0.17572,319
2021-03-11,7,0.06152,321
2021-03-11,14,0.04686,322
2021-03-11,19,0.04169,322
2021-03-11,20,0.04046,322.5
2021-03-11,28,0.03486,324
2021-03-11,35,0.03114,324
2021-03-11,42,0.02861,325
2021-03-11,49,0.02632,325
2021-03-11,70,0.02208,327
2021-03-11,98,0.01873,328
2021-03-11,110,0.0178,330
2021-03-11,161,0.01489,333
2021-03-11,189,0.0138,333
2021-03-11,202,0.01336,335
2021-03-11,217,0.01292,339
2021-03-11,281,0.01143,342
2021-03-11,295,0.01121,337
2021-03-11,316,0.01087,349
2021-03-11,371,0.01013,345
2021-03-11,462,0.00918,350
2021-03-11,645,0.00777,360
2021-03-11,680,0.00752,350
2021-03-11,1009,0.00613,355
2021-03-12,0,1.23815,315
2021-03-12,6,0.06767,318
2021-03-12,13,0.04798,319
2021-03-12,18,0.04203,319
2021-03-12,19,0.04069,320
2021-03-12,27,0.03481,321
2021-03-12,34,0.03097,322
2021-03-12,41,0.02842,322
2021-03-12,48,0.02618,322.5
2021-03-12,69,0.02187,324
2021-03-12,97,0.01869,327
2021-03-12,109,0.01765,328
2021-03-12,160,0.0148,331
2021-03-12,188,0.01373,333
2021-03-12,201,0.0133,331
2021-03-12,216,0.01292,336
2021-03-12,280,0.01136,339
2021-03-12,294,0.0111,335
2021-03-12,315,0.01085,337
2021-03-12,370,0.01008,340
2021-03-12,461,0.00917,345
2021-03-12,644,0.00781,350
2021-03-12,679,0.0076,345
2021-03-12,1008,0.00616,385
2021-03-15,4,0.09219,320
2021-03-15,11,0.0584,322
2021-03-15,16,0.04934,323
2021-03-15,17,0.04738,322
2021-03-15,25,0.03882,325
2021-03-15,32,0.03381,325
2021-03-15,39,0.03074,326
2021-03-15,46,0.028,325
2021-03-15,67,0.02301,330
2021-03-15,95,0.01943,333
2021-03-15,107,0.01844,331
2021-03-15,158,0.01537,338
2021-03-15,186,0.01405,338
2021-03-15,199,0.0138,342
2021-03-15,214,0.01344,336
2021-03-15,277,0.01173,342
2021-03-15,291,0.01128,340
2021-03-15,312,0.01105,347
2021-03-15,368,0.01017,345
2021-03-15,459,0.00949,350
2021-03-15,641,0.00806,370
2021-03-15,676,0.00764,350
2021-03-15,1005,0.00626,375
2021-03-16,3,0.09168,323
2021-03-16,10,0.05849,323
2021-03-16,15,0.04949,324
2021-03-16,16,0.04754,324
2021-03-16,24,0.0388,325
2021-03-16,31,0.03378,326
2021-03-16,38,0.0306,326
2021-03-16,45,0.02787,327.5
2021-03-16,66,0.02282,329
2021-03-16,94,0.01923,330
2021-03-16,106,0.01816,332
2021-03-16,157,0.01494,335
2021-03-16,185,0.01387,336
2021-03-16,198,0.01341,337
2021-03-16,213,0.01287,340
2021-03-16,276,0.01138,341
2021-03-16,290,0.01115,342
2021-03-16,311,0.01087,343
2021-03-16,367,0.01007,345
2021-03-16,458,0.0091,355
2021-03-16,640,0.00771,350
2021-03-16,675,0.0076,350
2021-03-16,1004,0.00619,365
2021-03-17,2,0.11613,323
2021-03-17,9,0.06472,323
2021-03-17,14,0.05417,324
2021-03-17,15,0.05147,324
2021-03-17,23,0.04117,325
2021-03-17,30,0.03546,326
2021-03-17,37,0.03194,326
2021-03-17,44,0.02894,327.5
2021-03-17,65,0.02356,330
2021-03-17,93,0.01973,330
2021-03-17,105,0.01858,333
2021-03-17,156,0.01527,335
2021-03-17,184,0.01409,336
2021-03-17,197,0.01363,339
2021-03-17,212,0.01315,336
2021-03-17,275,0.01144,340
2021-03-17,289,0.01121,345
2021-03-17,310,0.01091,345
2021-03-17,366,0.01001,350
2021-03-17,457,0.00915,355
2021-03-17,639,0.00778,360
2021-03-17,674,0.00756,355
2021-03-17,1003,0.00631,365
2021-03-18,1,0.11963,313
2021-03-18,8,0.05591,313
2021-03-18,13,0.04666,315
2021-03-18,14,0.04499,315
2021-03-18,22,0.03735,317
2021-03-18,29,0.03294,317
2021-03-18,36,0.02971,317
2021-03-18,43,0.02713,318
2021-03-18,64,0.02236,322
2021-03-18,92,0.01895,322
2021-03-18,104,0.01792,323
2021-03-18,155,0.01489,325
2021-03-18,183,0.01379,331
2021-03-18,196,0.01346,329
2021-03-18,211,0.01295,335
2021-03-18,274,0.01145,334
2021-03-18,288,0.01117,333
2021-03-18,309,0.01087,334
2021-03-18,365,0.01011,335
2021-03-18,456,0.00914,345
2021-03-18,638,0.00785,350
2021-03-18,673,0.00769,355
2021-03-18,1002,0.00633,355
2021-03-19,0,0.79016,314
2021-03-19,7,0.07104,315
2021-03-19,12,0.0552,317
2021-03-19,13,0.05242,317
2021-03-19,21,0.04159,318
2021-03-19,28,0.03565,318
2021-03-19,35,0.03202,319
2021-03-19,42,0.02891,319
2021-03-19,63,0.02347,322
2021-03-19,91,0.01976,319
2021-03-19,103,0.01859,328
2021-03-19,154,0.01542,330
2021-03-19,182,0.01419,327
2021-03-19,195,0.01377,333
2021-03-19,210,0.0133,330
2021-03-19,273,0.01174,330
2021-03-19,287,0.01158,331
2021-03-19,308,0.01117,338
2021-03-19,364,0.0102,345
2021-03-19,455,0.00924,340
2021-03-19,637,0.00795,355
2021-03-19,672,0.00773,345
2021-03-19,1001,0.00643,365
2021-03-22,4,0.09547,320
2021-03-22,9,0.06958,321
2021-03-22,10,0.065,321
2021-03-22,18,0.04923,321
2021-03-22,25,0.041,323
2021-03-22,32,0.03631,324
2021-03-22,39,0.0324,324
2021-03-22,60,0.02563,325
2021-03-22,88,0.02105,330
2021-03-22,100,0.01981,330
2021-03-22,151,0.01603,332
2021-03-22,179,0.01472,334
2021-03-22,192,0.01425,338
2021-03-22,207,0.0137,336
2021-03-22,270,0.01198,343
2021-03-22,284,0.01173,340
2021-03-22,305,0.01138,347
2021-03-22,361,0.01039,350
2021-03-22,452,0.00945,345
2021-03-22,634,0.00801,360
2021-03-22,669,0.00782,350
2021-03-22,998,0.00636,365
2021-03-23,3,0.10553,318
2021-03-23,8,0.07099,319
2021-03-23,9,0.06535,319
2021-03-23,17,0.04875,319
2021-03-23,24,0.04034,322
2021-03-23,31,0.03586,322.5
2021-03-23,38,0.03214,322
2021-03-23,59,0.02569,325
2021-03-23,87,0.02116,326
2021-03-23,99,0.01983,328
2021-03-23,150,0.0162,329
2021-03-23,178,0.01487,334
2021-03-23,191,0.0144,336
2021-03-23,206,0.01387,334
2021-03-23,269,0.01216,337
2021-03-23,283,0.01188,339
2021-03-23,304,0.01152,339
2021-03-23,360,0.01061,340
2021-03-23,451,0.00958,345
2021-03-23,633,0.00815,350
2021-03-23,668,0.00796,350
2021-03-23,997,0.0065,350
2021-03-24,2,0.11871,313
2021-03-24,7,0.07288,315
2021-03-24,8,0.06717,314
2021-03-24,16,0.0486,316
2021-03-24,23,0.03984,315
2021-03-24,30,0.03533,317
2021-03-24,37,0.03172,318
2021-03-24,58,0.02542,318
2021-03-24,86,0.02113,322
2021-03-24,98,0.01994,324
2021-03-24,149,0.0164,326
2021-03-24,177,0.01508,327
2021-03-24,190,0.0146,327
2021-03-24,205,0.01406,331
2021-03-24,268,0.01231,330
2021-03-24,282,0.0121,333
2021-03-24,303,0.01175,334
2021-03-24,359,0.01079,335
2021-03-24,450,0.00971,340
2021-03-24,632,0.00826,345
2021-03-24,667,0.0081,340
2021-03-24,996,0.0067,355
2021-03-25,1,0.16913,312
2021-03-25,6,0.08035,313
2021-03-25,7,0.07225,313
2021-03-25,15,0.05137,314
2021-03-25,22,0.04219,315
2021-03-25,29,0.03713,316
2021-03-25,36,0.03303,317
2021-03-25,43,0.03034,317
2021-03-25,57,0.02642,319
2021-03-25,85,0.02201,322
2021-03-25,97,0.02067,322
2021-03-25,148,0.0168,324
2021-03-25,176,0.01544,327
2021-03-25,189,0.015,330
2021-03-25,204,0.01443,329
2021-03-25,267,0.01263,334
2021-03-25,281,0.01231,332
2021-03-25,302,0.01197,333
2021-03-25,358,0.01099,335
2021-03-25,449,0.00986,340
2021-03-25,631,0.00837,345
2021-03-25,666,0.00821,345
2021-03-25,995,0.00682,350
2021-03-26,0,1.51803,316
2021-03-26,5,0.104,318
2021-03-26,6,0.09081,317.5
2021-03-26,14,0.05982,319
2021-03-26,21,0.04749,319
2021-03-26,28,0.04165,320
2021-03-26,35,0.03685,320
2021-03-26,42,0.03355,322
2021-03-26,56,0.02902,323
2021-03-26,84,0.02365,326
2021-03-26,96,0.02215,324
2021-03-26,147,0.01776,332
2021-03-26,175,0.01627,333
2021-03-26,188,0.01563,332
2021-03-26,203,0.01508,335
2021-03-26,266,0.01303,338
2021-03-26,280,0.01278,335
2021-03-26,301,0.01235,337
2021-03-26,357,0.01133,345
2021-03-26,448,0.01022,345
2021-03-26,630,0.00855,360
2021-03-26,665,0.00844,350
2021-03-26,994,0.00698,360
2021-03-29,2,0.1238,317
2021-03-29,3,0.10169,317
2021-03-29,11,0.06024,318
2021-03-29,18,0.04701,319
2021-03-29,25,0.04102,321
2021-03-29,32,0.03618,319
2021-03-29,39,0.0328,322
2021-03-29,53,0.0284,322
2021-03-29,81,0.02323,324
2021-03-29,93,0.02175,326
2021-03-29,144,0.01754,329
2021-03-29,172,0.0161,330
2021-03-29,185,0.01554,331
2021-03-29,200,0.01494,329
2021-03-29,263,0.01298,334
2021-03-29,277,0.01268,330
2021-03-29,298,0.01223,339
2021-03-29,354,0.01131,340
2021-03-29,445,0.01008,340
2021-03-29,627,0.00854,345
2021-03-29,662,0.00837,345
2021-03-29,991,0.00674,360
2021-03-30,1,0.18313,315
2021-03-30,2,0.13289,315
2021-03-30,10,0.06743,317
2021-03-30,17,0.04964,318
2021-03-30,24,0.04305,319
2021-03-30,31,0.03779,318
2021-03-30,38,0.03383,321
2021-03-30,52,0.02919,322
2021-03-30,80,0.02391,324
2021-03-30,92,0.02225,321
2021-03-30,143,0.01779,326
2021-03-30,171,0.01629,326
2021-03-30,184,0.0157,328
2021-03-30,199,0.0151,330
2021-03-30,262,0.01313,336
2021-03-30,276,0.01285,334
2021-03-30,297,0.01246,338
2021-03-30,353,0.0114,335
2021-03-30,444,0.01021,340
2021-03-30,626,0.00861,350
2021-03-30,661,0.00836,340
2021-03-30,990,0.00693,360
2021-03-31,0,0.69043,318
2021-03-31,1,0.20911,319
2021-03-31,9,0.07923,321
2021-03-31,16,0.05643,321
2021-03-31,23,0.04757,322
2021-03-31,30,0.04068,322.5
2021-03-31,37,0.03624,325
2021-03-31,51,0.03069,325
2021-03-31,79,0.02462,326
2021-03-31,91,0.02297,330
2021-03-31,142,0.01816,333
2021-03-31,170,0.01651,333
2021-03-31,183,0.01589,333
2021-03-31,198,0.01536,328
2021-03-31,261,0.01319,335
2021-03-31,275,0.01295,337
2021-03-31,296,0.01256,340
2021-03-31,352,0.01144,335
2021-03-31,443,0.01019,350
2021-03-31,625,0.00882,350
2021-03-31,660,0.00845,355
2021-03-31,989,0.00688,350
2021-04-01,0,1.05811,325
2021-04-01,8,0.09507,326
2021-04-01,15,0.06296,327
2021-04-01,22,0.05159,327
2021-04-01,29,0.04345,327.5
2021-04-01,36,0.03863,329
2021-04-01,43,0.03503,329
2021-04-01,50,0.0323,330
2021-04-01,78,0.02543,333
2021-04-01,90,0.02368,333
2021-04-01,141,0.0186,336
2021-04-01,169,0.01685,338
2021-04-01,182,0.01622,337
2021-04-01,197,0.01556,336
2021-04-01,260,0.01341,347
2021-04-01,274,0.0131,346
2021-04-01,295,0.01269,342
2021-04-01,351,0.01158,350
2021-04-01,364,0.01146,349
2021-04-01,442,0.01025,350
2021-04-01,624,0.0086,355
2021-04-01,659,0.00841,360
2021-04-01,988,0.00698,370
2021-04-05,4,0.10826,332
2021-04-05,11,0.067,332
2021-04-05,18,0.05382,332.5
2021-04-05,25,0.04469,335
2021-04-05,32,0.03938,334
2021-04-05,39,0.03597,336
2021-04-05,46,0.03303,336
2021-04-05,74,0.02597,339
2021-04-05,86,0.02395,340
2021-04-05,137,0.01864,345
2021-04-05,165,0.01691,342
2021-04-05,178,0.01625,345
2021-04-05,193,0.01543,340
2021-04-05,256,0.01343,348
2021-04-05,270,0.01303,349
2021-04-05,291,0.01261,347
2021-04-05,347,0.01134,355
