date,signal
2021-03-17,1
2021-03-18,1
2021-03-19,1
2021-03-22,1
2021-03-23,1
2021-03-24,1
2021-03-25,1
2021-03-26,1
2021-03-29,1
2021-03-30,1
2021-03-31,1
2021-04-01,1
2021-04-05,1
2021-04-06,1
2021-04-07,-1
2021-06-16,1
2021-06-17,1
2021-06-18,1
2021-06-21,1
2021-06-22,1
2021-06-23,1
2021-06-24,1
2021-06-25,1
2021-06-28,1
2021-06-29,1
2021-06-30,1
2021-07-01,1
2021-07-02,1
2021-07-06,1
2021-07-07,1
2021-07-08,1
2021-07-09,1
2021-07-12,1
2021-07-13,1
2021-07-14,1
2021-07-15,1
2021-07-16,1
2021-07-19,1
2021-07-20,1
2021-07-21,1
2021-07-22,1
2021-07-23,1
2021-07-26,1
2021-07-27,1
2021-07-28,1
2021-07-29,1
2021-07-30,1
2021-08-02,1
2021-08-03,1
2021-08-04,1
2021-08-05,1
2021-08-06,1
2021-08-09,1
2021-08-10,1
2021-08-11,1
2021-08-12,1
2021-08-13,1
2021-08-16,1
2021-08-17,-1
2021-09-01,1
2021-09-02,1
2021-09-03,1
2021-09-07,1
2021-09-08,1
2021-09-09,1
2021-09-10,1
2021-09-13,1
2021-09-14,1
2021-09-15,1
2021-09-16,1
2021-09-17,1
2021-09-20,1
2021-09-21,1
2021-09-22,1
2021-09-23,1
2021-09-24,1
2021-09-27,1
2021-09-28,1
2021-09-29,1
2021-09-30,1
2021-10-01,1
2021-10-04,1
2021-10-05,1
2021-10-06,1
2021-10-07,1
2021-10-08,1
2021-10-11,1
2021-10-12,1
2021-10-13,1
2021-10-14,1
2021-10-15,1
2021-10-18,1
2021-10-19,1
2021-10-20,1
2021-10-21,1
2021-10-22,1
2021-10-25,1
2021-10-26,1
2021-10-27,1
2021-10-28,1
2021-10-29,1
2021-11-01,1
2021-11-02,1
2021-11-03,1
2021-11-04,1
2021-11-05,1
2021-11-08,1
2021-11-09,1
2021-11-10,1
2021-11-11,1
2021-11-12,1
2021-11-15,1
2021-11-16,1
2021-11-17,1
